ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
VONV,0.228574118395136,0.137037037037037,0.4546884542296871,0.4552678262282366,1.0,0.7894884952822382,0.8914
VTI,0.3153784934703048,0.1,0.450681544861802,0.8197102236831857,0.6849035493307093,0.4043701373944712,0.8746
VIG,0.1979815132211574,0.1123456790123456,0.4277553992652625,0.6783515094176864,0.7583759082269523,0.5864260883959611,0.8554
SCHG,0.4447193691360406,0.1123456790123456,0.4440316192953046,0.898871987140749,0.3825216019842821,0.6923522595596757,0.8382
XLF,0.273040731459616,0.1617283950617284,0.4703128899967222,0.949731636337794,0.1035911192591294,0.1,0.8371
ITOT,0.3153603219859763,0.1,0.4472358003559357,0.7424742613758031,0.7136688998827225,0.4731998013573912,0.835
JEPI,0.1769381283314217,0.4950617283950618,0.5802898266914718,0.7722006462061969,0.9774099187145304,0.6741764608508526,0.8326
VOE,0.2897839399714429,0.1246913580246913,0.4623870640126358,0.4379420849887263,0.9829179191998167,0.3502896871378911,0.8246
IJH,0.4394614607200767,0.1246913580246913,0.3995609345997877,0.9563888885786408,0.801105374546729,0.3943883463002815,0.8187
SCHB,0.3101199291984921,0.1,0.4524303304448436,0.7629347561358837,0.657678983055417,0.6163714616785302,0.8187
SPMD,0.438204512986129,0.1,0.4021852110903406,0.515870447343257,0.767414367173072,0.1342658500248303,0.8186
SCHM,0.4203213010660062,0.1123456790123456,0.4175030793600373,0.4673463951987137,0.8745049404850169,0.3407548419135905,0.8078
XLV,0.2629742376675388,0.1617283950617284,0.320769545118198,0.8877554055957824,0.1,0.1,0.8077
VV,0.306871094973814,0.1,0.4536002378375767,0.5374022017018414,0.6978000350484613,0.1951994702863764,0.799
SPYD,0.2798428429660814,0.1493827160493827,0.6256116428812907,0.3989924719070629,0.871386975452597,0.1,0.799
SPY,0.3032518994266583,0.1802469135802469,0.451187660451853,1.0,0.6872207918256206,0.3721900347624567,0.7932
SPTM,0.2992382232205616,0.1,0.4553159364684612,0.4004364864778038,0.6803418572988421,0.7048667439165703,0.7871
BBUS,0.3023654769791506,0.1,0.4569401327910286,0.2872489559032892,0.675452596956176,0.517596424433041,0.7845
VBR,0.4493898422013579,0.1246913580246913,0.4628391567104889,0.5106620330459789,0.8936980170659047,0.8118357887766927,0.7618
