ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
IBB,0.4741402640735038,0.6061728395061731,0.2493330054509818,0.44399691026592597,0.1,0.6552557523588812
QYLD,0.2937801005490598,0.8037037037037039,0.565480270243807,0.603480110664665,0.3187792351347344,0.39617612977983785
IOO,0.31775858483991715,0.5567901234567904,0.4774790294058472,0.2950595371341619,0.36781742447730614,0.42105611653699726
VPL,0.32814158135733523,0.14938271604938275,0.6354219683412392,0.3545887885239316,,0.45129945373282576
VDC,0.15071374933222845,0.1740740740740741,0.3818050170679232,0.2852173897121576,0.1,0.6329084588644265
FTCS,0.14594729081294483,0.7049382716049385,0.322079558867714,0.3154671870750574,0.7454308938705634,0.398559841085913
AIQ,0.543030540220141,0.9024691358024695,0.48544570089024497,0.37547698975560495,0.2154132348381705,0.5219169011753022
THRO,0.3164165635724996,0.7666666666666668,0.3785613038316329,0.3372072490940645,0.4759270992006256,0.5655686144678034
EWT,0.5964064559678468,0.7913580246913582,0.5109760699446254,0.5352068937168982,,0.48005297136235725
URTH,0.25630625818728064,0.3592592592592594,0.4747168427904926,0.30970516791418107,0.6644608603049218,0.49375931137228957
GUNR,0.3904395153123472,0.6308641975308644,0.4356954290210052,0.3442942617375515,,0.7955967555040557
XLRE,0.32180216427064956,0.16172839506172842,0.5182609493531691,0.6223596057582063,0.1,0.1
VIS,0.3724342310342488,0.1740740740740741,0.4663765469971135,0.2728345173651946,0.12426431931844223,0.5266843237874524
COPX,0.9899978085965632,0.8654320987654324,0.7122275447309554,0.43360288775408995,,0.4517463996027149
BBUS,0.3023654769791506,0.1,0.4569401327910286,0.28724895590328925,0.675452596956176,0.517596424433041
IJS,0.5723125030269973,0.28518518518518526,0.37975419992394666,0.313375883497931,0.8732553280401172,0.9594769077967225
SPLV,0.10398678896784899,0.371604938271605,0.3876964259116704,0.4704434076835783,0.6513702600326221,0.10417149478563156
XLB,0.40926382809692546,0.16172839506172842,0.3901851319818438,0.7131299423717936,0.1,0.1
FDL,0.18458492799155873,0.5938271604938274,0.607875778382138,0.35596960298731495,0.5613860318401791,0.6747723886773714
VONE,0.3040839713851427,0.13703703703703707,0.45388030707870114,0.26996053537941667,0.7333593950096384,0.7647574904817086
SPYD,0.2798428429660814,0.14938271604938275,0.6256116428812907,0.39899247190706294,0.871386975452597,0.1
JQUA,0.24620210971484902,0.21111111111111114,0.4255413435924814,0.3378641651441136,0.6200450237925133,0.5853832146995532
HEFA,0.19901925539542786,0.4950617283950618,0.6123933392764773,0.3804317509239715,,0.2883131931799372
DFSV,0.5551944610162174,0.43333333333333346,0.42930902921955355,0.36935929584126354,0.778163460631142,0.7071014732660157
URA,0.9839990553943736,0.914814814814815,0.9963480613165014,0.5190001716737476,,0.6975666280417151
JGLO,0.26653842686982254,0.64320987654321,0.4154698320719093,0.2990336080734116,,0.46887932461513004
IJT,0.522598237611201,0.28518518518518526,0.3519181294160269,0.2702388007697281,,0.9429399106108262
IXN,0.546205868687694,0.5444444444444446,0.4859396654681795,0.2913394075931986,0.1,0.4754345307068367
MCHI,0.6499816021873175,0.7913580246913582,0.4018112998364769,0.5210733032235666,,0.4188213871875519
DIVO,0.141374934733102,0.7543209876543212,0.6580093997845885,0.31126562095790744,,0.7468796556861449
TCAF,0.24699123499669307,0.4456790123456792,0.35103385358059136,0.33514967859751355,,0.7495613309054794
BBAX,0.3675157969323537,0.29753086419753094,0.5846773220926283,0.27916637739918515,,0.42224797219003485
XMMO,0.4811477178678308,0.4950617283950618,0.5223719424588111,0.2814274736051201,,0.3517795067041881
VFLO,0.30266249650846566,0.5444444444444446,0.48583367244332376,0.32788773162269597,,0.7525409700380734
BBIN,0.23270195153952758,0.14938271604938275,0.6547963764070567,0.27046568384598635,,0.22276113226287042
INDA,0.3455110276478984,0.8160493827160495,0.19993145990404404,0.5660924783858692,,0.6515312034431388
ESGE,0.3357196107296778,0.371604938271605,0.5555600757958288,0.34218236693971515,,0.5202780996523756
KWEB,0.9065683859742224,0.9271604938271607,0.5525066092235387,0.6938702002353937,,0.4189703691441815
DXJ,0.4430730687754761,0.6555555555555557,0.6269462455999217,0.324070994786774,,0.1
JAVA,0.23641975596404438,0.6061728395061731,0.39734131661083344,0.27361797335439286,,0.46887932461513004
VSGX,0.24329242187631558,0.18641975308641978,0.6052780001477991,0.26018418227047124,,0.2406389670584341
VOOV,0.252080799949301,0.14938271604938275,0.44152183381264937,0.24953769060447833,,0.4682833967886113
XAR,0.44196050913238344,0.4950617283950618,0.5552494027794107,0.256197553533824,,0.7388346300281412
FXI,0.7118411250229753,0.9641975308641978,0.46585037837435067,0.6881712654421015,,0.30157258731998027
ARKK,0.9856689831995149,0.9888888888888892,0.4071428571428577,0.703447603753034,,0.20279755007449102
