ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
VPL,0.3446475772684561,0.15000000000000002,0.6430486178123404,0.35541577132740343,,0.44870444144470445
VDC,0.1550237522166436,0.175,0.3825190479753544,0.28809783215254836,,0.6293089256905808
FTCS,0.15061001723208933,0.7125,0.32392177364838715,0.31777051631153713,,0.3962565436407338
AIQ,0.5760173776870223,0.9125,0.4976555444895686,0.37137999576170255,,0.5189312876568007
THRO,0.33350929719508354,0.7749999999999999,0.38615714031384984,0.3387144439602494,,0.5623415533533076
EWT,0.6330789851294258,0.7999999999999999,0.5199968264125046,0.5327572732160215,,0.4772989168011065
URTH,0.2689230697590993,0.36250000000000004,0.4816943925547122,0.30880481155399875,,0.49092944391400284
GUNR,0.41482038651293096,0.6375000000000001,0.43846722819384165,0.3496370252934825,,0.7910973562045243
XLRE,0.3380989476298434,0.1625,0.5203248863442853,0.6241002517745188,,0.1
VIS,0.39397214544958115,0.175,0.47499781332081104,0.27341364879707386,,0.5236723405656343
COPX,1.0,0.875,0.725739516840655,0.43386239515621855,,0.4491489151549075
BBUS,0.31914518797718655,0.1,0.4645417520267098,0.2859431994627405,,0.5146347084581704
IJS,0.6096040486332694,0.2875,0.3829588607594937,0.3112591017292394,,0.954071049945676
SPLV,0.10432937181663837,0.375,0.38877424698251173,0.4747707562714576,,0.10349652652026473
XLB,0.43503097491652637,0.1625,0.3926969752873,0.7093006049636916,,0.1
FDL,0.19048799381590928,0.6,0.6131933063105368,0.359892834839333,,0.6709412965462751
VONE,0.3210247192977615,0.1375,0.461348813387895,0.26810630886826664,,0.7604286702005074
SPYD,0.294441920488395,0.15000000000000002,0.6289775694448028,0.40191250420943564,,0.1
JQUA,0.25860138049150305,0.21250000000000002,0.43134703308271455,0.3383787526339698,,0.5820465545056468
HEFA,0.2066621531978488,0.5,0.6191614891607796,0.3828276079499808,,0.2866196951239589
DFSV,0.5910980836653155,0.4375000000000001,0.4343111831547008,0.36911583905283957,,0.7030915615843023
URA,1.0,0.9249999999999999,1.0,0.5141186811288925,,0.6936094557666352
JGLO,0.2804086466891587,0.6499999999999999,0.42087320743909556,0.3017017108896718,,0.466187074046028
IJT,0.5565103966212616,0.2875,0.355954204874424,0.26814778346258067,,0.9376255226681598
IXN,0.5783701787547872,0.55,0.49766936120586014,0.2834737366100939,,0.4727060217956741
